iter	RMSE
0	25.71872094
1	25.59922024
2	25.47270688
3	25.34738203
4	25.21525101
5	25.10040243
6	24.97519429
7	24.86000733
8	24.74638011
9	24.65051657
10	24.53880386
11	24.42498902
12	24.33318743
13	24.25201874
14	24.15242623
15	24.07987044
16	23.98745872
17	23.88871777
18	23.8161262
19	23.73221902
20	23.64715167
21	23.56702244
22	23.49393212
23	23.41385133
24	23.39006237
25	23.3150157
26	23.22638129
27	23.16653585
28	23.09740017
29	23.03373381
30	22.97245149
31	22.9143113
32	22.85706162
33	22.78829504
34	22.72699505
35	22.64954504
36	22.59071373
37	22.52053835
38	22.47874069
39	22.42560535
40	22.3714241
41	22.31528935
42	22.26642626
43	22.21750306
44	22.14347532
45	22.0808569
46	22.04486503
47	21.99985856
48	21.94844747
49	21.89992087
50	21.86134811
51	21.80422422
52	21.75428219
53	21.69472628
54	21.65427608
55	21.60079271
56	21.55256354
57	21.49884673
58	21.45287265
59	21.40393839
60	21.35212836
61	21.30019587
62	21.26389983
63	21.21510581
64	21.1713344
65	21.13394775
66	21.08933907
67	21.04487725
68	21.02293468
69	20.98874056
70	20.95319407
71	20.91619154
72	20.88802092
73	20.85618233
74	20.81387713
75	20.76650115
76	20.74006216
77	20.68383413
78	20.66325205
79	20.62732966
80	20.60485264
81	20.56211425
82	20.53239729
83	20.51513479
84	20.48491815
85	20.44523713
86	20.3943049
87	20.36389436
88	20.33010839
89	20.29637297
90	20.288372
91	20.24911571
92	20.21605562
93	20.18916326
94	20.15659434
95	20.11532895
96	20.09335386
97	20.07146844
98	20.03842699
99	20.01190908
100	19.96929264
101	19.92567908
102	19.89148394
103	19.86979023
104	19.84677273
105	19.81573696
106	19.7899801
107	19.75150469
108	19.71479717
109	19.67741232
110	19.66359334
111	19.63334462
112	19.61075957
113	19.58725616
114	19.57498223
