iter	Passed	Remaining
0	2	2277
1	4	2093
2	6	2034
3	8	2029
4	10	1996
5	12	1989
6	13	1976
7	16	2005
8	18	2015
9	20	2001
10	22	1989
11	24	1979
12	25	1966
13	27	1958
14	29	1954
15	31	1953
16	33	1946
17	35	1953
18	37	1958
19	40	1964
20	42	1965
21	44	1962
22	46	1959
23	48	1966
24	48	1895
25	50	1893
26	52	1890
27	54	1889
28	56	1885
29	58	1889
30	60	1888
31	62	1888
32	64	1886
33	66	1887
34	68	1886
35	70	1888
36	72	1889
37	74	1894
38	76	1890
39	78	1888
40	80	1886
41	82	1890
42	84	1888
43	86	1883
44	88	1880
45	90	1878
46	92	1875
47	94	1878
48	96	1879
49	98	1879
50	101	1880
51	103	1878
52	104	1875
53	106	1872
54	108	1869
55	110	1869
56	112	1866
57	114	1864
58	116	1862
59	118	1861
60	120	1860
61	122	1857
62	125	1859
63	126	1856
64	128	1853
65	130	1852
66	133	1852
67	134	1848
68	136	1844
69	138	1844
70	140	1842
71	142	1841
72	144	1837
73	146	1836
74	148	1833
75	150	1834
76	152	1833
77	155	1833
78	156	1830
79	159	1830
80	161	1831
81	163	1828
82	165	1826
83	167	1824
84	169	1823
85	171	1821
86	173	1818
87	175	1815
88	177	1813
89	179	1815
90	181	1814
91	183	1812
92	185	1810
93	187	1808
94	189	1806
95	191	1805
96	193	1803
97	196	1805
98	198	1804
99	200	1802
100	202	1800
101	204	1798
102	206	1797
103	208	1796
104	210	1794
105	212	1793
106	214	1793
107	217	1792
108	218	1789
109	221	1788
110	223	1788
111	225	1787
112	227	1785
113	229	1783
114	231	1781
