id,day_of_year,weekend,depart,avgspeed,tavg,days_to_nearest_holiday,sealevel,dewpoint,tmax,preciptotal,RA,SN
26_2,43.256,3.93,7.385,6.976,6.213,9.743,6.618,4.799,6.299,2.577,0.0,0.0
35_16,19.714,32.863,1.526,1.972,1.359,13.638,11.172,15.031,1.88,0.846,0.0,0.0
35_63,32.172,7.098,0.056,0.157,0.123,28.403,15.556,16.271,0.066,0.097,0.0,0.0
3_2,43.964,4.007,7.351,4.889,4.398,13.618,6.127,4.761,5.204,0.0,3.014,0.0
28_2,47.458,0.0,9.577,5.087,3.596,14.533,4.339,6.2,5.916,1.986,0.775,0.0
5_37,10.125,32.429,8.465,11.373,4.28,7.193,7.208,5.061,6.075,0.0,4.083,0.0
16_39,19.099,0.0,8.31,8.274,9.748,6.945,6.909,9.252,7.962,6.89,0.0,11.946
39_9,19.678,4.698,12.986,8.665,7.269,10.119,12.321,7.128,7.526,5.239,0.0,0.0
2_44,13.813,30.204,7.867,9.002,7.897,8.924,6.693,4.574,6.358,2.759,0.0,0.0
36_1,48.884,0.0,6.493,5.285,3.387,16.127,4.685,5.3,4.601,1.809,2.061,0.0
40_55,30.264,18.086,9.096,8.733,4.576,7.953,5.56,5.704,4.8,0.0,1.765,0.0
23_56,31.431,7.884,9.206,9.457,6.545,9.03,6.321,4.546,9.974,3.254,0.0,0.0
33_92,48.691,2.366,5.841,4.669,6.402,8.685,3.275,13.142,2.866,0.0,3.225,0.0
18_57,18.688,7.893,9.651,9.326,0.0,11.056,11.733,6.574,7.515,7.118,5.422,0.0
12_37,13.666,41.595,5.935,8.69,0.0,4.503,5.87,5.282,2.412,6.145,3.886,0.0
44_62,25.35,5.129,11.237,15.832,6.472,0.0,7.81,7.773,5.762,5.405,5.123,0.0
16_50,29.933,4.201,4.767,4.146,0.0,5.945,6.434,3.918,4.763,13.646,0.0,18.022
24_76,22.591,2.965,11.629,11.377,8.89,11.427,7.674,5.042,10.591,0.0,0.0,3.955
32_9,18.872,18.321,8.754,8.2,8.34,12.098,7.88,5.689,7.951,0.0,0.0,1.776
34_9,17.305,21.577,11.196,8.275,8.305,8.237,6.455,5.129,5.235,0.0,4.203,0.0
11_9,10.073,14.95,12.268,13.373,5.823,8.245,12.101,7.975,5.469,5.685,0.0,0.0
11_61,27.726,0.0,12.232,8.588,6.229,5.835,10.221,6.402,8.104,5.182,5.946,0.0
6_14,34.309,0.0,6.992,8.55,8.483,16.136,6.633,7.218,7.952,0.93,1.98,0.0
45_9,21.809,14.333,12.239,7.1,4.299,8.72,7.781,8.745,9.113,2.808,0.0,0.0
38_9,11.878,14.499,8.781,12.586,6.391,11.708,10.128,8.825,9.654,0.0,3.263,0.0
7_23,12.876,52.046,4.753,4.936,2.964,5.789,5.335,3.629,3.478,0.0,2.377,0.0
29_56,29.843,4.423,11.683,9.611,8.339,6.717,12.079,5.482,4.258,4.45,0.0,0.0
18_37,8.488,36.145,7.537,10.438,4.639,3.421,6.986,9.706,4.345,0.0,3.891,0.0
1_40,36.107,0.0,7.235,4.3,7.843,11.211,13.232,5.772,7.749,2.791,0.0,2.42
11_87,7.118,17.011,9.371,9.256,9.538,9.648,10.856,12.42,6.146,4.815,0.0,0.0
7_7,36.563,8.889,6.133,13.317,4.568,6.448,8.608,5.878,5.789,0.0,2.112,0.0
27_9,13.912,26.324,8.24,7.391,5.03,5.682,5.242,9.628,5.663,8.875,0.0,0.0
4_9,18.845,40.236,6.862,6.262,8.887,3.843,4.68,2.222,7.034,0.0,1.129,0.0
37_104,4.611,13.498,5.806,8.885,8.507,6.478,8.034,26.512,4.959,10.513,0.0,0.0
6_9,25.077,4.36,9.229,8.867,7.875,13.419,9.198,7.364,9.624,2.83,0.0,0.0
41_16,31.237,15.976,4.965,6.928,6.989,9.482,6.04,7.074,5.687,3.747,0.0,0.0
4_101,14.062,13.541,9.897,9.47,8.435,15.458,8.534,6.849,7.931,4.045,0.0,0.0
44_5,14.628,31.056,8.942,11.141,3.554,7.129,6.466,3.282,7.182,0.0,4.846,0.0
37_53,10.92,29.232,11.412,8.144,6.351,5.463,6.751,5.172,11.607,2.181,0.0,0.0
19_16,18.675,17.157,9.924,5.979,7.329,12.479,9.835,5.574,4.66,5.568,0.0,0.0
43_105,23.614,6.522,6.223,9.802,5.337,13.579,10.432,5.411,8.451,9.366,0.0,0.0
10_37,9.01,46.432,7.298,10.265,2.625,3.389,5.427,6.836,4.572,2.111,0.0,0.0
45_4,45.547,2.646,13.285,7.143,5.364,6.258,8.54,2.719,2.08,6.418,0.0,0.0
25_50,8.459,0.0,5.551,11.04,20.519,4.693,5.114,6.433,18.8,11.593,0.0,4.628
22_9,14.334,24.636,10.565,15.384,0.0,4.161,9.235,7.226,3.83,4.7,3.266,0.0
15_15,26.586,4.553,16.743,4.016,12.045,8.024,7.276,8.261,4.656,0.0,0.0,6.651
25_12,12.335,3.052,16.774,12.199,10.667,9.736,10.047,14.295,8.715,0.925,0.0,0.0
40_106,7.597,6.37,22.264,10.887,2.764,0.0,3.548,26.623,5.508,14.438,0.0,0.0
43_73,2.446,0.0,12.776,21.025,6.03,18.219,11.427,7.689,13.311,2.223,4.854,0.0
22_104,20.307,6.199,11.698,8.622,4.528,0.0,10.651,7.773,5.366,13.589,7.896,0.0
25_81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32_86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8_84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30_49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
