id,rmse,r2,unit_max,unit_mean,day_not_zero_unit_count,day_not_zero_unit_percent
26_2,1.861,0.325,15.0,1.480072463768116,303,36.594202898550726
35_16,7.582,0.291,128.0,22.848441926345608,702,99.43342776203966
35_63,2.809,0.178,47.0,1.8838526912181304,229,32.436260623229465
3_2,2.25,0.175,14.0,1.214975845410628,284,34.29951690821256
28_2,1.242,0.171,12.0,0.8061594202898551,224,27.053140096618357
5_37,3.693,0.168,38.0,12.359299516908212,827,99.8792270531401
16_39,0.13,0.166,10.0,0.19082125603864733,97,11.71497584541063
39_9,5.039,0.162,42.0,5.22463768115942,667,80.55555555555556
2_44,32.735,0.144,343.0,136.04408212560386,827,99.8792270531401
36_1,1.184,0.144,9.0,0.8266908212560387,251,30.31400966183575
40_55,1.098,0.14,9.0,0.982487922705314,328,39.61352657004831
23_56,1.045,0.14,13.0,1.1781400966183575,334,40.33816425120773
33_92,0.867,0.127,11.0,0.7596618357487923,251,30.31400966183575
18_57,0.948,0.097,8.0,0.4613526570048309,213,25.724637681159418
12_37,5.241,0.075,51.0,17.821859903381643,826,99.7584541062802
44_62,0.982,0.075,7.0,0.625,278,33.57487922705314
16_50,0.318,0.074,25.0,0.4251207729468599,127,15.338164251207727
24_76,0.649,0.067,6.0,0.35507246376811596,180,21.73913043478261
32_9,18.99,0.061,192.0,42.22041062801932,823,99.39613526570048
34_9,20.859,0.054,188.0,55.17874396135266,826,99.7584541062802
11_9,18.468,0.052,143.0,39.3756038647343,828,100.0
11_61,1.081,0.052,7.0,0.5458937198067633,253,30.555555555555557
6_14,0.644,0.043,7.0,0.32608695652173914,163,19.685990338164252
45_9,13.962,0.038,112.0,16.618961352657006,794,95.89371980676329
38_9,33.994,0.036,251.0,78.19806763285024,823,99.39613526570048
7_23,8.256,0.034,61.0,25.446859903381643,826,99.7584541062802
29_56,0.815,0.034,8.0,0.6123188405797102,231,27.898550724637683
18_37,4.553,0.031,38.0,12.482487922705314,826,99.7584541062802
1_40,0.301,0.03,15.0,0.32306763285024154,114,13.768115942028986
11_87,1.315,0.03,7.0,1.1322463768115942,440,53.14009661835749
7_7,0.933,0.028,6.0,0.783816425120773,317,38.28502415458937
27_9,17.145,0.026,125.0,36.90458937198068,824,99.51690821256038
4_9,41.776,0.025,390.0,121.08454106280193,827,99.8792270531401
37_104,1.262,0.025,16.0,0.4335748792270531,126,15.217391304347828
6_9,26.354,0.02,190.0,59.145531400966185,827,99.8792270531401
41_16,10.987,0.02,176.0,38.38526570048309,826,99.7584541062802
4_101,0.953,0.018,8.0,0.46557971014492755,195,23.55072463768116
44_5,17.098,0.017,111.0,36.7518115942029,827,99.8792270531401
37_53,0.887,0.017,6.0,0.5730676328502415,276,33.33333333333333
19_16,10.254,0.016,74.0,18.97463768115942,827,99.8792270531401
43_105,0.295,0.014,12.0,0.08514492753623189,43,5.193236714975845
10_37,6.376,0.013,70.0,17.14855072463768,827,99.8792270531401
45_4,0.734,0.013,7.0,0.3677536231884058,163,19.685990338164252
25_50,0.372,0.011,39.0,0.39371980676328505,127,15.338164251207727
22_9,22.72,0.008,156.0,47.66606280193237,825,99.63768115942028
15_15,0.646,0.005,55.0,1.232487922705314,188,22.705314009661837
